path,role,review_status
.github/workflows/docs.yml,automation,source_candidate
.github/workflows/python-tests.yml,automation,source_candidate
.github/workflows/terraform_cd.yml,automation,source_candidate
.github/workflows/terraform_ci.yml,automation,source_candidate
.gitignore,metadata,source_candidate
DEPLOYMENT_NOTES.md,documentation,content_reconciliation_needed
LICENSE,metadata,source_candidate
README.md,documentation,content_reconciliation_needed
docs/architecture-decisions.md,documentation,content_reconciliation_needed
docs/architecture-overview.md,documentation,content_reconciliation_needed
docs/cicd.md,documentation,content_reconciliation_needed
docs/contributing.md,documentation,content_reconciliation_needed
docs/cost-finops.md,documentation,content_reconciliation_needed
docs/data-flow.md,documentation,content_reconciliation_needed
docs/deployment.md,documentation,content_reconciliation_needed
docs/index.md,documentation,content_reconciliation_needed
docs/infrastructure.md,documentation,content_reconciliation_needed
docs/security-identity.md,documentation,content_reconciliation_needed
docs/software-architecture.md,documentation,content_reconciliation_needed
docs/stylesheets/extra.css,documentation,content_reconciliation_needed
future-work/auth/README.md,deferred_source,source_candidate
future-work/auth/auth.py,deferred_source,source_candidate
future-work/auth/quota.py,deferred_source,source_candidate
future-work/auth/report_auth.py,deferred_source,source_candidate
future-work/auth/report_function_auth_gate.py,deferred_source,source_candidate
future-work/auth/scan_job.py,deferred_source,source_candidate
future-work/auth/terraform/entra_external_id/main.tf,deferred_source,source_candidate
future-work/auth/terraform/entra_external_id/outputs.tf,deferred_source,source_candidate
future-work/auth/terraform/entra_external_id/variables.tf,deferred_source,source_candidate
future-work/auth/test_auth_deferred.py,deferred_source,source_candidate
future-work/auth/test_report_function_auth_deferred.py,deferred_source,source_candidate
future-work/code-scan/superseded/README.md,deferred_source,source_candidate
future-work/code-scan/superseded/test_14_subresource_integrity_sri.py,deferred_source,source_candidate
future-work/code-scan/superseded/test_15_hallucinated_deps.py,deferred_source,source_candidate
future-work/code-scan/test_03_mixed_content.py,deferred_source,source_candidate
future-work/code-scan/test_16_ai_exposure.py,deferred_source,source_candidate
future-work/report-html/README.md,deferred_source,source_candidate
future-work/report-html/report_generator.py,deferred_source,source_candidate
mkdocs.yml,metadata,source_candidate
src/api/blocklist.py,implementation,source_candidate
src/api/function_app.py,implementation,source_candidate
src/api/host.json,implementation,source_candidate
src/api/requirements.txt,implementation,source_candidate
src/api/servicebus_queue.py,implementation,source_candidate
src/api/test_api_gateway.py,implementation,source_candidate
src/cve-pipeline/cve_etl.py,implementation,source_candidate
src/report/function_app.py,implementation,source_candidate
src/report/host.json,implementation,source_candidate
src/report/requirements.txt,implementation,source_candidate
src/report/test_report_function.py,implementation,source_candidate
src/worker/README.md,implementation,source_candidate
src/worker/cve_database_v2.csv,implementation,source_candidate
src/worker/evaluation/README.md,implementation,source_candidate
src/worker/evaluation/aggregate_results.py,implementation,source_candidate
src/worker/evaluation/analyze_cache_efficiency.py,implementation,source_candidate
src/worker/evaluation/analyze_evaluation.py,implementation,source_candidate
src/worker/evaluation/apply_pool_exclusions.py,implementation,source_candidate
src/worker/evaluation/build_candidate_pool.py,implementation,source_candidate
src/worker/evaluation/data/CANDIDATE_POOL_README.md,historical_site_level_data,retain_original_separate_release_review
src/worker/evaluation/data/ai_generated_candidates.csv,historical_site_level_data,retain_original_separate_release_review
src/worker/evaluation/data/candidate_pool_n800.csv,historical_site_level_data,retain_original_separate_release_review
src/worker/evaluation/data/candidate_pool_n800.txt,historical_site_level_data,retain_original_separate_release_review
src/worker/evaluation/data/sample_sites.csv,historical_site_level_data,retain_original_separate_release_review
src/worker/evaluation/data/sample_sites.txt,historical_site_level_data,retain_original_separate_release_review
src/worker/evaluation/data/tranco_metadata.txt,historical_site_level_data,retain_original_separate_release_review
src/worker/evaluation/fetch_tranco_list.py,implementation,source_candidate
src/worker/evaluation/ocsp_fix_impact.py,implementation,source_candidate
src/worker/evaluation/run_evaluation.py,implementation,source_candidate
src/worker/evaluation/sample_sites.py,implementation,source_candidate
src/worker/evaluation/tier_fix_counterfactual.py,implementation,source_candidate
src/worker/function_app.py,implementation,source_candidate
src/worker/host.json,implementation,source_candidate
src/worker/main_scanner.py,implementation,source_candidate
src/worker/osv_cve_sync.py,implementation,source_candidate
src/worker/requirements.txt,implementation,source_candidate
src/worker/test_01_secrets.py,implementation,source_candidate
src/worker/test_02_frontend_libs.py,implementation,source_candidate
src/worker/test_03_cookies.py,implementation,source_candidate
src/worker/test_04_ssl_tls.py,implementation,source_candidate
src/worker/test_05_security_headers.py,implementation,source_candidate
src/worker/test_06_info_disclosure.py,implementation,source_candidate
src/worker/test_07_email_security.py,implementation,source_candidate
src/worker/test_08_cors.py,implementation,source_candidate
src/worker/test_09_sri.py,implementation,source_candidate
src/worker/test_10_hallucinated_deps.py,implementation,source_candidate
terraform/backend.tf,infrastructure_source,source_candidate
terraform/budget/backend.tf,infrastructure_source,source_candidate
terraform/budget/main.tf,infrastructure_source,source_candidate
terraform/budget/provider.tf,infrastructure_source,source_candidate
terraform/iam.tf,infrastructure_source,source_candidate
terraform/main.tf,infrastructure_source,source_candidate
terraform/modules/api_function/main.tf,infrastructure_source,source_candidate
terraform/modules/api_function/outputs.tf,infrastructure_source,source_candidate
terraform/modules/api_function/variables.tf,infrastructure_source,source_candidate
terraform/modules/cosmos_db/main.tf,infrastructure_source,source_candidate
terraform/modules/cosmos_db/outputs.tf,infrastructure_source,source_candidate
terraform/modules/cosmos_db/variables.tf,infrastructure_source,source_candidate
terraform/modules/frontend_swa/main.tf,infrastructure_source,source_candidate
terraform/modules/frontend_swa/outputs.tf,infrastructure_source,source_candidate
terraform/modules/frontend_swa/variables.tf,infrastructure_source,source_candidate
terraform/modules/function_app/main.tf,infrastructure_source,source_candidate
terraform/modules/function_app/outputs.tf,infrastructure_source,source_candidate
terraform/modules/function_app/variables.tf,infrastructure_source,source_candidate
terraform/modules/functions_plan/main.tf,infrastructure_source,source_candidate
terraform/modules/functions_plan/outputs.tf,infrastructure_source,source_candidate
terraform/modules/functions_plan/variables.tf,infrastructure_source,source_candidate
terraform/modules/network/main.tf,infrastructure_source,source_candidate
terraform/modules/network/outputs.tf,infrastructure_source,source_candidate
terraform/modules/network/variables.tf,infrastructure_source,source_candidate
terraform/modules/observability/main.tf,infrastructure_source,source_candidate
terraform/modules/observability/outputs.tf,infrastructure_source,source_candidate
terraform/modules/observability/variables.tf,infrastructure_source,source_candidate
terraform/modules/report_function/main.tf,infrastructure_source,source_candidate
terraform/modules/report_function/outputs.tf,infrastructure_source,source_candidate
terraform/modules/report_function/variables.tf,infrastructure_source,source_candidate
terraform/modules/resource_group/main.tf,infrastructure_source,source_candidate
terraform/modules/resource_group/outputs.tf,infrastructure_source,source_candidate
terraform/modules/resource_group/variables.tf,infrastructure_source,source_candidate
terraform/modules/service_bus/main.tf,infrastructure_source,source_candidate
terraform/modules/service_bus/outputs.tf,infrastructure_source,source_candidate
terraform/modules/service_bus/variables.tf,infrastructure_source,source_candidate
terraform/modules/storage_account/main.tf,infrastructure_source,source_candidate
terraform/modules/storage_account/outputs.tf,infrastructure_source,source_candidate
terraform/modules/storage_account/variables.tf,infrastructure_source,source_candidate
terraform/outputs.tf,infrastructure_source,source_candidate
terraform/provider.tf,infrastructure_source,source_candidate
terraform/terraform.tfvars.example,infrastructure_source,source_candidate
terraform/variables.tf,infrastructure_source,source_candidate
validation-benchmark/Dockerfile,validation_source,source_candidate
validation-benchmark/README.md,validation_source,source_candidate
validation-benchmark/app.py,validation_source,source_candidate
validation-benchmark/cross-tool-calibration/README.md,validation_source,source_candidate
validation-benchmark/cross-tool-calibration/compute_verdict_agreement.py,validation_source,source_candidate
validation-benchmark/cross-tool-calibration/fetch_mozilla_verdicts.py,validation_source,source_candidate
validation-benchmark/cross-tool-calibration/mozilla_verdicts.json,historical_site_level_data,retain_original_separate_release_review
validation-benchmark/cross-tool-calibration/results.json,historical_site_level_data,retain_original_separate_release_review
validation-benchmark/cross-tool-calibration/run_calibration.py,validation_source,source_candidate
validation-benchmark/cross-tool-calibration/sample_sites.json,historical_site_level_data,retain_original_separate_release_review
validation-benchmark/cross-tool-calibration/verdict_agreement_results.json,historical_site_level_data,retain_original_separate_release_review
validation-benchmark/fixtures/cases.json,validation_source,source_candidate
validation-benchmark/runner.py,validation_source,source_candidate
validation-benchmark/test_runner.py,validation_source,source_candidate
